Property Type,Price,Area_sqm,Corner Unit,Renovated
HDB 5 Rooms,795000,128,1,0
HDB 4 Rooms,750000,90,1,0
HDB 3 Rooms,365000,82,1,1
HDB 4 Rooms,478000,93,1,1
HDB 5 Rooms,710000,114,1,1
HDB 2 Rooms,255000,47,0,1
HDB 4 Rooms,655000,91,1,1
HDB 3 Rooms,490000,82,0,1
HDB Executive,980000,146,1,1
HDB 5 Rooms,788000,112,1,1
HDB 4 Rooms,540000,87,1,1
HDB 4 Rooms,470000,91,0,1
HDB 5 Rooms,530000,132,1,1
HDB 3 Rooms,355000,73,0,0
HDB 5 Rooms,850000,120,1,1
HDB 3 Rooms,370000,65,0,0
HDB 4 Rooms,558000,93,1,1
HDB 5 Rooms,468000,122,1,1
HDB 4 Rooms,279000,84,0,0
HDB 4 Rooms,368000,84,0,0
HDB 5 Rooms,460000,110,1,0
HDB 3 Rooms,490000,82,0,1
HDB 5 Rooms,509000,110,1,1
HDB 4 Rooms,380000,92,0,0
HDB 5 Rooms,700000,120,1,0
HDB 5 Rooms,480000,121,1,0
HDB 4 Rooms,420000,91,0,0
HDB 4 Rooms,670000,83,1,1
HDB 5 Rooms,499999,128,1,0
HDB 5 Rooms,415000,110,1,0
HDB 4 Rooms,438000,104,1,0
HDB 4 Rooms,360000,104,0,1
HDB 4 Rooms,450000,106,0,1
HDB 5 Rooms,438000,111,0,0
HDB 4 Rooms,550000,92,0,1
HDB 5 Rooms,710000,114,1,1
HDB 3 Rooms,335000,75,0,1
HDB 5 Rooms,480000,135,1,1
HDB 4 Rooms,400000,104,0,1
HDB 5 Rooms,750000,120,0,1
HDB 4 Rooms,540000,93,0,1
HDB Executive,780000,150,0,1
HDB 3 Rooms,490000,82,0,1
HDB 3 Rooms,320000,68,0,1
HDB 4 Rooms,550000,101,1,1
HDB 5 Rooms,585000,133,1,1
HDB 3 Rooms,258000,67,0,1
HDB 5 Rooms,698000,125,0,0
HDB 5 Rooms,400000,120,1,1
HDB 4 Rooms,380000,91,1,0
HDB Executive,598000,132,1,1
HDB 5 Rooms,880000,110,1,1
HDB 5 Rooms,430000,116,1,0
HDB 4 Rooms,660000,103,0,1
HDB Executive,480000,130,0,0
HDB 5 Rooms,520000,122,0,1
HDB 4 Rooms,440000,92,1,0
HDB 4 Rooms,380000,92,0,0
