,mall,latitude,longitude,mallCoordinates
0,100 AM,1.27458821795426,103.84347073661,"('1.27458821795426', '103.84347073661')"
1,313@Somerset,1.30101436404056,103.838360664485,"('1.30101436404056', '103.838360664485')"
2,Aperia,1.3104736675734,103.86431321816,"('1.3104736675734', '103.86431321816')"
3,Balestier Hill Shopping Centre,1.32559594839311,103.842571612968,"('1.32559594839311', '103.842571612968')"
4,Bugis Cube,1.2981408343975,103.855635339249,"('1.2981408343975', '103.855635339249')"
5,Bugis Junction,1.29911287475873,103.855411173758,"('1.29911287475873', '103.855411173758')"
6,Bugis+,1.30095171530648,103.855172625542,"('1.30095171530648', '103.855172625542')"
7,Capitol Piazza,1.29307884763132,103.851261982149,"('1.29307884763132', '103.851261982149')"
8,Cathay Cineleisure Orchard,1.30146393496315,103.836463810773,"('1.30146393496315', '103.836463810773')"
9,The Centrepoint,1.30197836876806,103.839759023144,"('1.30197836876806', '103.839759023144')"
10,City Square Mall,1.31142103107683,103.856624019991,"('1.31142103107683', '103.856624019991')"
11,CityLink Mall,1.2927777312893,103.854173501417,"('1.2927777312893', '103.854173501417')"
12,Duo,1.29953434891664,103.85840168774,"('1.29953434891664', '103.85840168774')"
13,Far East Plaza,1.30717698071189,103.833792932243,"('1.30717698071189', '103.833792932243')"
14,Funan,1.29134759697794,103.849989790085,"('1.29134759697794', '103.849989790085')"
15,Great World City,1.2934759620704,103.831975865363,"('1.2934759620704', '103.831975865363')"
16,HDB Hub,1.33201387005935,103.84984949662,"('1.33201387005935', '103.84984949662')"
17,Holland Road Shopping Centre,1.31027747574118,103.795371163103,"('1.31027747574118', '103.795371163103')"
18,Raffles Holland V,1.31056351475336,103.796107173318,"('1.31056351475336', '103.796107173318')"
19,ION Orchard,1.30473094842364,103.831465536872,"('1.30473094842364', '103.831465536872')"
20,Junction 8,1.3501820033849,103.848515664081,"('1.3501820033849', '103.848515664081')"
21,Knightsbridge,1.3029831225958,103.836283923443,"('1.3029831225958', '103.836283923443')"
22,Liat Towers,1.30508722710852,103.830722581168,"('1.30508722710852', '103.830722581168')"
23,Lucky Plaza,1.30450604646634,103.833962339817,"('1.30450604646634', '103.833962339817')"
24,Marina Bay Sands,1.28345419690844,103.860809048956,"('1.28345419690844', '103.860809048956')"
25,The Shoppes at Marina Bay Sands,1.28423496027027,103.85898228297,"('1.28423496027027', '103.85898228297')"
26,Marina Bay Link Mall,1.28003113385646,103.854284863268,"('1.28003113385646', '103.854284863268')"
